a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	ADJ	JJS	0	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	ADJ	JJ	1	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	PROPN	NNP	2	0
a1e-fragment01 1	1	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	VERB	VBZ	3	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	VERB	VBN	4	0
a1e-fragment01 1	1	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	NOUN	NN	5	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	PROPN	NNP	7	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	PROPN	NNP	8	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	PRON	WP	10	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	AUX	VBZ	11	0
a1e-fragment01 1	1	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	VERB	VBG	12	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	X	LS	13	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	NUM	CD	14	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	NOUN	NN	15	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	NOUN	NN	16	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	NOUN	NN	17	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	ADP	IN	18	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	PROPN	NNP	19	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	NOUN	NNS	21	0
a1e-fragment01 1	1	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	ADP	IN	22	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	PROPN	NNP	23	0
a1e-fragment01 1	0	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane	PROPN	NNP	24	0
